player,n_early,n_late,obs_mwp_early,sim_mwp_early,clutch_early,obs_mwp_late,sim_mwp_late,clutch_late
Ana Konjuh,78,79,58.97435897435898,54.43589743589744,4.53846153846154,48.10126582278481,49.259493670886066,-1.1582278481012551
Anabel Medina Garrigues,159,159,55.34591194968554,55.28301886792453,0.06289308176100405,47.79874213836478,51.95283018867924,-4.1540880503144635
Anastasia Pavlyuchenkova,341,342,56.598240469208214,54.36217008797654,2.236070381231677,55.26315789473685,55.01023391812866,0.2529239766081872
Anastasia Potapova,135,135,54.074074074074076,54.03703703703704,0.03703703703703809,59.25925925925925,53.11481481481482,6.1444444444444315
Anastasia Rodionova,73,74,27.397260273972602,27.212328767123285,0.18493150684931692,33.78378378378378,35.27702702702703,-1.4932432432432492
Anastasija Sevastova,187,188,52.406417112299465,51.922459893048135,0.4839572192513302,55.319148936170215,55.17819148936171,0.14095744680850686
Andrea Petkovic,229,229,60.26200873362445,60.473799126637566,-0.21179039301311775,48.47161572052402,49.35152838427948,-0.8799126637554622
Anett Kontaveit,163,164,54.601226993865026,54.89263803680982,-0.2914110429447945,65.2439024390244,62.862804878048784,2.3810975609756113
Angelique Kerber,351,352,62.67806267806267,61.12393162393162,1.5541310541310551,63.92045454545454,62.18892045454546,1.7315340909090793
Anhelina Kalinina,88,89,50.0,48.64204545454546,1.3579545454545396,46.06741573033708,45.578651685393254,0.48876404494382797
Ann Li,73,74,49.31506849315068,46.986301369863014,2.328767123287669,52.702702702702695,56.14864864864866,-3.445945945945965
Anna Blinkova,122,122,37.704918032786885,37.790983606557376,-0.08606557377049029,43.44262295081967,41.590163934426236,1.852459016393432
Anna Bondar,68,68,39.705882352941174,45.47058823529411,-5.764705882352935,42.64705882352941,44.4485294117647,-1.80147058823529
Anna Chakvetadze,119,119,66.38655462184873,62.0252100840336,4.361344537815128,49.57983193277311,51.403361344537814,-1.823529411764703
Anna Kalinskaya,111,112,45.94594594594595,42.95495495495496,2.990990990990994,60.71428571428571,58.308035714285715,2.406249999999993
Anna Karolina Schmiedlova,135,135,39.25925925925926,41.818518518518516,-2.5592592592592567,40.74074074074074,40.29259259259259,0.4481481481481495
Anna Lena Friedsam,65,66,40.0,40.08461538461539,-0.08461538461538964,42.42424242424242,44.43939393939394,-2.0151515151515156
Anna Lena Groenefeld,68,68,45.588235294117645,48.68382352941177,-3.095588235294123,39.705882352941174,42.522058823529406,-2.816176470588232
