player,n_early,n_late,obs_mwp_early,sim_mwp_early,clutch_early,obs_mwp_late,sim_mwp_late,clutch_late
Karsten Braasch,68,69,44.11764705882353,47.88235294117647,-3.764705882352942,28.985507246376812,33.13768115942029,-4.152173913043477
Kei Nishikori,311,312,67.52411575562701,60.737942122186496,6.786173633440512,66.34615384615384,61.61538461538463,4.730769230769212
Kenneth Carlsen,247,247,48.178137651821864,49.84817813765182,-1.6700404858299578,44.534412955465584,45.75303643724696,-1.2186234817813784
Kevin Anderson,289,290,55.017301038062286,56.77681660899654,-1.759515570934255,60.689655172413794,59.810344827586206,0.8793103448275872
Kevin Kim,68,69,36.76470588235294,39.99999999999999,-3.235294117647051,23.18840579710145,30.86231884057971,-7.673913043478262
Kristian Pless,60,60,41.66666666666667,45.15,-3.483333333333327,26.666666666666668,34.425,-7.758333333333329
Kristof Vliegen,94,95,50.0,47.87765957446809,2.1223404255319096,34.73684210526316,38.27368421052632,-3.536842105263162
Kyle Edmund,118,118,48.30508474576271,49.864406779661024,-1.5593220338983116,50.0,52.21186440677966,-2.211864406779661
Lars Burgsmuller,117,117,40.17094017094017,46.307692307692314,-6.136752136752143,34.18803418803419,34.7008547008547,-0.512820512820511
Lars Jonsson,82,82,39.02439024390244,39.96951219512195,-0.9451219512195124,39.02439024390244,40.451219512195124,-1.4268292682926855
Laslo Djere,151,152,47.682119205298015,46.20529801324503,1.476821192052988,48.68421052631579,49.246710526315795,-0.5625000000000071
Leander Paes,59,60,35.59322033898305,39.966101694915245,-4.3728813559321935,41.66666666666667,41.50833333333334,0.15833333333333144
Leonardo Mayer,177,178,47.45762711864407,50.28813559322033,-2.8305084745762628,47.752808988764045,50.794943820224724,-3.042134831460679
Lionel Roux,91,91,38.46153846153847,40.52197802197802,-2.060439560439555,41.75824175824176,39.79120879120879,1.9670329670329707
Lleyton Hewitt,395,396,75.9493670886076,71.84556962025316,4.103797468354443,64.14141414141415,63.3030303030303,0.838383838383848
Lloyd Harris,77,78,51.94805194805194,50.35064935064935,1.597402597402592,44.871794871794876,48.81410256410256,-3.9423076923076863
Lorenzo Musetti,154,155,56.493506493506494,54.06818181818182,2.425324675324674,61.29032258064516,56.68387096774194,4.606451612903221
Lorenzo Sonego,176,177,48.29545454545455,50.53977272727272,-2.2443181818181728,46.32768361581921,48.19774011299435,-1.8700564971751419
Lucas Pouille,135,136,55.55555555555556,48.94814814814815,6.607407407407408,46.32352941176471,43.61029411764705,2.713235294117659
Luciano Darderi,64,64,46.875,45.3984375,1.4765625,57.8125,55.5,2.3125
Luis Herrera,52,53,40.38461538461539,48.05769230769231,-7.67307692307692,39.62264150943396,40.943396226415096,-1.320754716981135
Luis Horna,114,115,45.614035087719294,45.80263157894737,-0.18859649122807554,45.21739130434783,47.19565217391304,-1.9782608695652115
Luiz Mattar,79,79,49.36708860759494,48.78481012658228,0.5822784810126578,44.303797468354425,40.58227848101266,3.721518987341767
Lukas Lacko,105,106,37.142857142857146,38.614285714285714,-1.471428571428568,37.735849056603776,38.806603773584904,-1.0707547169811278
Lukas Rosol,132,133,41.66666666666667,41.07954545454546,0.587121212121211,43.609022556390975,40.17293233082706,3.436090225563916
Lukasz Kubot,99,100,41.41414141414141,41.17171717171718,0.2424242424242351,38.0,41.01,-3.009999999999998
Mackenzie Mcdonald,128,128,42.96875,44.3203125,-1.3515625,44.53125,48.9453125,-4.4140625
